"No.","Time","Source","Destination","Protocol","Length","Info"
"16","140.926179","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 17)"
"17","140.926306","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 16)"
"18","141.426171","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 19)"
"19","141.426320","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 18)"
"20","141.926165","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 21)"
"21","141.926287","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 20)"
"22","142.426145","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 23)"
"23","142.426254","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 22)"
"24","142.926106","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 25)"
"25","142.926275","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 24)"
"26","143.426150","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 27)"
"27","143.426249","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 26)"
"28","143.926104","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 29)"
"29","143.926259","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 28)"
"30","144.426138","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 31)"
"31","144.426250","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 30)"
"32","144.926075","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 33)"
"33","144.926259","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 32)"
"34","145.426128","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 35)"
"35","145.426236","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 34)"
